,epidemiology_weeks,start_date,end_date,dengue,year
0,1,2012-01-01,2012-01-07,74,2012
1,2,2012-01-08,2012-01-14,64,2012
2,3,2012-01-15,2012-01-21,60,2012
3,4,2012-01-22,2012-01-28,50,2012
4,5,2012-01-29,2012-02-04,84,2012
5,6,2012-02-05,2012-02-11,87,2012
6,7,2012-02-12,2012-02-18,65,2012
7,8,2012-02-19,2012-02-25,50,2012
8,9,2012-02-26,2012-03-03,55,2012
9,10,2012-03-04,2012-03-10,45,2012
10,11,2012-03-11,2012-03-17,64,2012
11,12,2012-03-18,2012-03-24,72,2012
12,13,2012-03-25,2012-03-31,48,2012
13,14,2012-04-01,2012-04-07,52,2012
14,15,2012-04-08,2012-04-14,81,2012
15,16,2012-04-15,2012-04-21,77,2012
16,17,2012-04-22,2012-04-28,64,2012
17,18,2012-04-29,2012-05-05,86,2012
18,19,2012-05-06,2012-05-12,96,2012
19,20,2012-05-13,2012-05-19,80,2012
20,21,2012-05-20,2012-05-26,80,2012
21,22,2012-05-27,2012-06-02,81,2012
22,23,2012-06-03,2012-06-09,99,2012
23,24,2012-06-10,2012-06-16,87,2012
24,25,2012-06-17,2012-06-23,128,2012
25,26,2012-06-24,2012-06-30,151,2012
26,27,2012-07-01,2012-07-07,140,2012
27,28,2012-07-08,2012-07-14,131,2012
28,29,2012-07-15,2012-07-21,124,2012
29,30,2012-07-22,2012-07-28,110,2012
30,31,2012-07-29,2012-08-04,94,2012
31,32,2012-08-05,2012-08-11,127,2012
32,33,2012-08-12,2012-08-18,115,2012
33,34,2012-08-19,2012-08-25,92,2012
34,35,2012-08-26,2012-09-01,102,2012
35,36,2012-09-02,2012-09-08,75,2012
36,37,2012-09-09,2012-09-15,73,2012
37,38,2012-09-16,2012-09-22,72,2012
38,39,2012-09-23,2012-09-29,99,2012
39,40,2012-09-30,2012-10-06,103,2012
40,41,2012-10-07,2012-10-13,122,2012
41,42,2012-10-14,2012-10-20,105,2012
42,43,2012-10-21,2012-10-27,84,2012
43,44,2012-10-28,2012-11-03,104,2012
44,45,2012-11-04,2012-11-10,99,2012
45,46,2012-11-11,2012-11-17,87,2012
46,47,2012-11-18,2012-11-24,99,2012
47,48,2012-11-25,2012-12-01,80,2012
48,49,2012-12-02,2012-12-08,78,2012
49,50,2012-12-09,2012-12-15,104,2012
50,51,2012-12-16,2012-12-22,92,2012
51,52,2012-12-23,2012-12-29,111,2012
0,1,2012-12-30,2013-01-05,132,2013
1,2,2013-01-06,2013-01-12,204,2013
2,3,2013-01-13,2013-01-19,219,2013
3,4,2013-01-20,2013-01-26,264,2013
4,5,2013-01-27,2013-02-02,292,2013
5,6,2013-02-03,2013-02-09,322,2013
6,7,2013-02-10,2013-02-16,246,2013
7,8,2013-02-17,2013-02-23,294,2013
8,9,2013-02-24,2013-03-02,247,2013
9,10,2013-03-03,2013-03-09,272,2013
10,11,2013-03-10,2013-03-16,307,2013
11,12,2013-03-17,2013-03-23,305,2013
12,13,2013-03-24,2013-03-30,314,2013
13,14,2013-03-31,2013-04-06,402,2013
14,15,2013-04-07,2013-04-13,491,2013
15,16,2013-04-14,2013-04-20,505,2013
16,17,2013-04-21,2013-04-27,536,2013
17,18,2013-04-28,2013-05-04,547,2013
18,19,2013-05-05,2013-05-11,556,2013
19,20,2013-05-12,2013-05-18,611,2013
20,21,2013-05-19,2013-05-25,637,2013
21,22,2013-05-26,2013-06-01,742,2013
22,23,2013-06-02,2013-06-08,813,2013
23,24,2013-06-09,2013-06-15,805,2013
24,25,2013-06-16,2013-06-22,838,2013
25,26,2013-06-23,2013-06-29,802,2013
26,27,2013-06-30,2013-07-06,676,2013
27,28,2013-07-07,2013-07-13,540,2013
28,29,2013-07-14,2013-07-20,389,2013
29,30,2013-07-21,2013-07-27,305,2013
30,31,2013-07-28,2013-08-03,288,2013
31,32,2013-08-04,2013-08-10,255,2013
32,33,2013-08-11,2013-08-17,378,2013
33,34,2013-08-18,2013-08-24,338,2013
34,35,2013-08-25,2013-08-31,382,2013
35,36,2013-09-01,2013-09-07,449,2013
36,37,2013-09-08,2013-09-14,337,2013
37,38,2013-09-15,2013-09-21,370,2013
38,39,2013-09-22,2013-09-28,402,2013
39,40,2013-09-29,2013-10-05,439,2013
40,41,2013-10-06,2013-10-12,435,2013
41,42,2013-10-13,2013-10-19,371,2013
42,43,2013-10-20,2013-10-26,495,2013
43,44,2013-10-27,2013-11-02,457,2013
44,45,2013-11-03,2013-11-09,401,2013
45,46,2013-11-10,2013-11-16,442,2013
46,47,2013-11-17,2013-11-23,365,2013
47,48,2013-11-24,2013-11-30,372,2013
48,49,2013-12-01,2013-12-07,347,2013
49,50,2013-12-08,2013-12-14,380,2013
50,51,2013-12-15,2013-12-21,371,2013
51,52,2013-12-22,2013-12-28,414,2013
0,1,2013-12-29,2014-01-04,436,2014
1,2,2014-01-05,2014-01-11,479,2014
2,3,2014-01-12,2014-01-18,401,2014
3,4,2014-01-19,2014-01-25,336,2014
4,5,2014-01-26,2014-02-01,234,2014
5,6,2014-02-02,2014-02-08,273,2014
6,7,2014-02-09,2014-02-15,369,2014
7,8,2014-02-16,2014-02-22,193,2014
8,9,2014-02-23,2014-03-01,186,2014
9,10,2014-03-02,2014-03-08,209,2014
10,11,2014-03-09,2014-03-15,224,2014
11,12,2014-03-16,2014-03-22,210,2014
12,13,2014-03-23,2014-03-29,225,2014
13,14,2014-03-30,2014-04-05,240,2014
14,15,2014-04-06,2014-04-12,244,2014
15,16,2014-04-13,2014-04-19,235,2014
16,17,2014-04-20,2014-04-26,282,2014
17,18,2014-04-27,2014-05-03,251,2014
18,19,2014-05-04,2014-05-10,261,2014
19,20,2014-05-11,2014-05-17,291,2014
20,21,2014-05-18,2014-05-24,427,2014
21,22,2014-05-25,2014-05-31,456,2014
22,23,2014-06-01,2014-06-07,458,2014
23,24,2014-06-08,2014-06-14,506,2014
24,25,2014-06-15,2014-06-21,550,2014
25,26,2014-06-22,2014-06-28,671,2014
26,27,2014-06-29,2014-07-05,888,2014
27,28,2014-07-06,2014-07-12,818,2014
28,29,2014-07-13,2014-07-19,744,2014
29,30,2014-07-20,2014-07-26,633,2014
30,31,2014-07-27,2014-08-02,484,2014
31,32,2014-08-03,2014-08-09,545,2014
32,33,2014-08-10,2014-08-16,438,2014
33,34,2014-08-17,2014-08-23,418,2014
34,35,2014-08-24,2014-08-30,367,2014
35,36,2014-08-31,2014-09-06,339,2014
36,37,2014-09-07,2014-09-13,362,2014
37,38,2014-09-14,2014-09-20,396,2014
38,39,2014-09-21,2014-09-27,344,2014
39,40,2014-09-28,2014-10-04,339,2014
40,41,2014-10-05,2014-10-11,278,2014
41,42,2014-10-12,2014-10-18,297,2014
42,43,2014-10-19,2014-10-25,213,2014
43,44,2014-10-26,2014-11-01,186,2014
44,45,2014-11-02,2014-11-08,168,2014
45,46,2014-11-09,2014-11-15,158,2014
46,47,2014-11-16,2014-11-22,149,2014
47,48,2014-11-23,2014-11-29,162,2014
48,49,2014-11-30,2014-12-06,212,2014
49,50,2014-12-07,2014-12-13,177,2014
50,51,2014-12-14,2014-12-20,198,2014
51,52,2014-12-21,2014-12-27,188,2014
52,53,2014-12-28,2015-01-03,158,2014
0,1,2015-01-04,2015-01-10,256,2015
1,2,2015-01-11,2015-01-17,228,2015
2,3,2015-01-18,2015-01-24,237,2015
3,4,2015-01-25,2015-01-31,259,2015
4,5,2015-02-01,2015-02-07,212,2015
5,6,2015-02-08,2015-02-14,173,2015
6,7,2015-02-15,2015-02-21,99,2015
7,8,2015-02-22,2015-02-28,172,2015
8,9,2015-03-01,2015-03-07,189,2015
9,10,2015-03-08,2015-03-14,110,2015
10,11,2015-03-15,2015-03-21,91,2015
11,12,2015-03-22,2015-03-28,129,2015
12,13,2015-03-29,2015-04-04,90,2015
13,14,2015-04-05,2015-04-11,107,2015
14,15,2015-04-12,2015-04-18,137,2015
15,16,2015-04-19,2015-04-25,113,2015
16,17,2015-04-26,2015-05-02,120,2015
17,18,2015-05-03,2015-05-09,135,2015
18,19,2015-05-10,2015-05-16,157,2015
19,20,2015-05-17,2015-05-23,109,2015
20,21,2015-05-24,2015-05-30,178,2015
21,22,2015-05-31,2015-06-06,151,2015
22,23,2015-06-07,2015-06-13,192,2015
23,24,2015-06-14,2015-06-20,207,2015
24,25,2015-06-21,2015-06-27,240,2015
25,26,2015-06-28,2015-07-04,242,2015
26,27,2015-07-05,2015-07-11,272,2015
27,28,2015-07-12,2015-07-18,263,2015
28,29,2015-07-19,2015-07-25,293,2015
29,30,2015-07-26,2015-08-01,250,2015
30,31,2015-08-02,2015-08-08,226,2015
31,32,2015-08-09,2015-08-15,221,2015
32,33,2015-08-16,2015-08-22,250,2015
33,34,2015-08-23,2015-08-29,225,2015
34,35,2015-08-30,2015-09-05,246,2015
35,36,2015-09-06,2015-09-12,217,2015
